string_key,ko,en,ja
item.advanced_rifle.desc,개량된 부품으로 탄창과 재장전 성능이 좋아진 돌격소총이다,An upgraded AR with better magazine and reload performance,改良部品でマガジンとリロード性能が向上したアサルトライフル
item.advanced_smg.desc,고급 부품으로 지속 화력이 강화된 기관단총이다,An advanced SMG with stronger sustained fire,高級部品で継続火力を強化したサブマシンガン
item.combat_knife.desc,가까운 거리에서 쓰는 기본 근접무기다,A basic melee weapon for close range use,近距離で使う基本的な近接武器
item.baseball_bat.desc,단단한 목재로 만든 휘두르기 좋은 근접무기다,A sturdy wooden melee weapon built for heavy swings,重いスイングに向いた丈夫な木製近接武器
item.pistol_ammo.desc,권총에 사용하는 소형 탄약 묶음이다,A small bundle of pistol rounds,ピストル用の小型弾薬の束
item.rifle_ammo.desc,소총에 사용하는 표준 탄약 묶음이다,A standard bundle of rifle rounds,ライフル用の標準弾薬の束
item.shotgun_ammo.desc,산탄총에 사용하는 산탄 탄약이다,Shells used by shotguns,ショットガンで使う散弾
item.rusty_pistol_ammo.desc,상태가 나빠 위력이 낮은 권총탄이다,Low-grade pistol rounds with reduced impact,状態が悪く威力の低いピストル弾
item.pistol_ap_ammo.desc,장갑 관통력을 높인 권총탄이다,Armor-piercing pistol rounds with higher impact,装甲貫通力を高めたピストル弾
item.rusty_rifle_ammo.desc,상태가 나빠 위력이 낮은 소총탄이다,Low-grade rifle rounds with reduced impact,状態が悪く威力の低いライフル弾
item.rifle_ap_ammo.desc,장갑 관통력을 높인 소총탄이다,Armor-piercing rifle rounds with higher impact,装甲貫通力を高めたライフル弾
item.rusty_shotgun_ammo.desc,상태가 나빠 위력이 낮은 산탄이다,Low-grade shotgun shells with reduced impact,状態が悪く威力の低い散弾
item.shotgun_ap_ammo.desc,단단한 표적에 강한 산탄총 철갑탄이다,Armor-piercing shotgun shells for harder targets,硬い標的に強いショットガン徹甲弾
item.rusty_smg_ammo.desc,상태가 나빠 위력이 낮은 기관단총탄이다,Low-grade SMG rounds with reduced impact,状態が悪く威力の低いSMG弾
item.smg_ammo.desc,기관단총에 사용하는 표준 탄약 묶음이다,A standard bundle of SMG rounds,SMG用の標準弾薬の束
item.smg_ap_ammo.desc,장갑 관통력을 높인 기관단총탄이다,Armor-piercing SMG rounds with higher impact,装甲貫通力を高めたSMG弾
item.rifle_extended_magazine.desc,소총의 탄창 슬롯에 장착하는 대용량 탄창이다,An extended magazine that fits the rifle magazine slot,ライフルのマガジンスロットに装着する拡張マガジン
item.red_dot_optic.desc,소총의 광학 슬롯에 장착하는 간단한 조준 장비다,A simple sight that fits the rifle optic slot,ライフルの光学スロットに装着する簡易照準器
item.laser_sight.desc,소총의 전술 장비 슬롯에 장착하는 레이저 조준 장치다,A laser aiming device that fits the rifle tactical slot,ライフルの戦術装備スロットに装着するレーザー照準器
item.canned_food.desc,오래 보관할 수 있는 평범한 식량 통조림이다,A plain canned meal with a long shelf life,長期保存できる普通の缶詰食品
item.water_bottle.desc,갈증을 줄이는 깨끗한 생수다,Clean bottled water that eases thirst,渇きを抑えるきれいな飲料水
item.large_water_bottle.desc,생수 두 병을 합친 큰 생수다,Two bottles worth of clean water,2本分のきれいな飲料水
item.king_water_bottle.desc,생수와 큰생수를 조합한 왕생수다,Clean water crafted from bottled water and large bottled water,飲料水と大きな飲料水を組み合わせた王の飲料水
item.energy_bar.desc,빠르게 허기를 채우는 작은 에너지바다,A small energy bar that quickly eases hunger,素早く空腹を満たす小さなエナジーバー
item.canned_tuna.desc,노란 라벨의 참치 통조림이다,A yellow labeled can of tuna,黄色いラベルのツナ缶
item.bandage.desc,가벼운 상처를 응급 처치하는 붕대다,A bandage for simple first aid,軽い傷を応急処置する包帯
item.first_aid_kit.desc,기본 치료 도구가 들어 있는 응급키트다,A first aid kit with basic treatment tools,基本的な治療道具が入った救急キット
item.painkillers.desc,통증을 잠시 줄이는 약품이다,Medicine that briefly reduces pain,痛みを一時的に抑える薬
item.antibiotics.desc,감염 위험을 낮추는 항생제다,Antibiotics that lower infection risk,感染リスクを下げる抗生物質
item.body_armor.desc,몸통을 보호하는 간단한 방탄조끼다,A simple vest that protects the torso,胴体を守る簡易ボディアーマー
item.ballistic_helmet.desc,머리를 보호하는 방탄헬멧이다,A ballistic helmet that protects the head,頭部を守る防弾ヘルメット
item.tactical_sunglasses.desc,얼굴 장착 슬롯에 쓰는 장식용 선글라스다,Decorative sunglasses for the face equipment slot,顔装備スロット用の装飾サングラス
item.tactical_earphones_tier1.desc,주변 소리를 더 잘 듣기 위한 기본 이어폰이다,Basic earphones for hearing nearby sounds more clearly,周囲の音を聞き取りやすくする基本イヤホン
item.tactical_earphones_tier2.desc,차음과 통신 성능이 개선된 고급 이어폰이다,Improved earphones with better isolation and comms,遮音性と通信性能が向上した上位イヤホン
item.tactical_jacket.desc,신체 슬롯에 장착할 수 있는 방호 의류다,Protective clothing that fits the body equipment slot,身体スロットに装備できる防護服
item.backpack.desc,추가 보관 공간을 제공하는 배낭이다,A backpack that provides extra storage,追加の収納空間を提供するバックパック
item.valuables_crate.desc,팔 만한 물건이 들어 있을 수 있는 작은 상자다,A small crate that may hold sellable goods,売れる品が入っているかもしれない小箱
item.backpack_tier1,1단계 가방,Bag I,バッグ I
item.backpack_tier2,2단계 가방,Bag II,バッグ II
item.backpack_tier3,3단계 가방,Bag III,バッグ III
item.backpack_tier4,4단계 가방,Bag IV,バッグ IV
item.backpack_tier1.desc,인벤토리를 40칸에서 50칸으로 확장한다,Expands inventory from 40 to 50 slots,インベントリを40スロットから50スロットへ拡張する
item.backpack_tier2.desc,인벤토리를 40칸에서 60칸으로 확장한다,Expands inventory from 40 to 60 slots,インベントリを40スロットから60スロットへ拡張する
item.backpack_tier3.desc,인벤토리를 40칸에서 80칸으로 확장한다,Expands inventory from 40 to 80 slots,インベントリを40スロットから80スロットへ拡張する
item.backpack_tier4.desc,인벤토리를 40칸에서 100칸으로 확장한다,Expands inventory from 40 to 100 slots,インベントリを40スロットから100スロットへ拡張する
item.wood,목재,Wood,木材
item.wood.desc,벌목기에게서 얻는 거친 목재다,Rough wood recovered from a lumberjack,伐採機から得た荒い木材
item.blueprint_king_water_bottle,설계도 왕생수,Blueprint: Royal Bottled Water,設計図 王の飲料水
item.blueprint_king_water_bottle.desc,왕생수 제조법을 등록할 수 있는 설계도다,A blueprint that unlocks the royal bottled water recipe,王の飲料水の製造法を登録できる設計図
item.ancient_coin,옛 문명의 동전,Ancient Civilization Coin,古代文明の硬貨
item.ancient_coin.desc,로켓 모양 탑이 양각된 오래된 동전이다. 함께 발견되는 왕국은행권 때문에 종교단체의 물건으로 오해받곤 한다.,An old coin embossed with a rocket-shaped tower. It is often found with Kingdom Banknotes and is sometimes mistaken for a religious group relic.,ロケット型の塔が浮き彫りになった古い硬貨。王国銀行券と一緒に見つかるため宗教団体の遺物と誤解されることがある。
item.ancient_banknote,옛 문명의 지폐,Ancient Civilization Banknote,古代文明の紙幣
item.ancient_banknote.desc,왕국은행권이라 불리는 오래된 지폐다. 둥근 머리와 몸통의 사람 실루엣 때문에 종교단체의 상징물로 오해받곤 한다.,An old note known as a Kingdom Banknote. Its simple round-headed human silhouette is sometimes mistaken for a religious group symbol.,王国銀行券と呼ばれる古い紙幣。丸い頭と胴体だけの人型シルエットのため宗教団体の象徴と誤解されることがある。
container.lumber_crate,목재 상자,Lumber Crate,木材箱
container.developer_crate,개발자의 상자,Developer Crate,Developer Crate
