source_row_index,id,name_string_key,description_string_key,shop_sell_price,experience_value,weight_kg,item_grade,icon_file_name,icon_object_path,category_tag,max_stack_category_key,resolved_stack_category_key,resolved_max_stack_quantity,blueprint_recipe_id,equipment_slot_tag,defense_value,weapon_type_tag,attachment_slot_tag,ammo_type_tag,projectile_hit_effect_id,projectile_damage_multiplier,projectile_damage_bonus,magazine_capacity,magazine_capacity_bonus,reload_seconds,inventory_slot_capacity,carry_strength_bonus,headphone_hearing_range,headphone_sensitivity,headphone_min_strength,use_health_delta,use_food_delta,use_hydration_delta,use_seconds
15,2031,item.rusty_shotgun_ammo,item.rusty_shotgun_ammo.desc,9,2,,common,T_UIIcon_RustyShotgunAmmo.uasset,/Game/UI/Icons/T_UIIcon_RustyShotgunAmmo.T_UIIcon_RustyShotgunAmmo,item.category.ammo,,stack.default.ammo,120,,,,,,ammo.type.shotgun,hit.red_burst,8500,0,,,,,,,,,,,,
16,2032,item.shotgun_ap_ammo,item.shotgun_ap_ammo.desc,34,7,,rare,T_UIIcon_ShotgunAPAmmo.uasset,/Game/UI/Icons/T_UIIcon_ShotgunAPAmmo.T_UIIcon_ShotgunAPAmmo,item.category.ammo,,stack.default.ammo,120,,,,,,ammo.type.shotgun,hit.red_burst,11000,4,,,,,,,,,,,,
17,2004,item.rifle_extended_magazine,item.rifle_extended_magazine.desc,55,20,,rare,T_UIIcon_RifleExtendedMagazine.uasset,/Game/UI/Icons/T_UIIcon_RifleExtendedMagazine.T_UIIcon_RifleExtendedMagazine,item.category.attachment,,stack.default.attachment,1,,,,,attachment.slot.magazine,,,,,,15,,,,,,,,,,
18,2005,item.red_dot_optic,item.red_dot_optic.desc,75,26,,rare,T_UIIcon_RedDotOptic.uasset,/Game/UI/Icons/T_UIIcon_RedDotOptic.T_UIIcon_RedDotOptic,item.category.attachment,,stack.default.attachment,1,,,,,attachment.slot.optic,,,,,,,,,,,,,,,,
19,2006,item.laser_sight,item.laser_sight.desc,90,30,,epic,T_UIIcon_RedDotOptic.uasset,/Game/UI/Icons/T_UIIcon_RedDotOptic.T_UIIcon_RedDotOptic,item.category.attachment,,stack.default.attachment,1,,,,,attachment.slot.tactical,,,,,,,,,,,,,,,,
20,3001,item.canned_food,item.canned_food.desc,8,5,,common,T_UIIcon_CannedFood.uasset,/Game/UI/Icons/T_UIIcon_CannedFood.T_UIIcon_CannedFood,item.category.consumable,,stack.default.consumable,10,,,,,,,,,,,,,,,,,,0,35,-5,
21,3002,item.water_bottle,item.water_bottle.desc,6,4,,common,T_UIIcon_WaterBottle.uasset,/Game/UI/Icons/T_UIIcon_WaterBottle.T_UIIcon_WaterBottle,item.category.consumable,,stack.default.consumable,10,,,,,,,,,,,,,,,,,,0,0,40,
22,3003,item.energy_bar,item.energy_bar.desc,10,5,,common,T_UIIcon_EnergyBar.uasset,/Game/UI/Icons/T_UIIcon_EnergyBar.T_UIIcon_EnergyBar,item.category.consumable,,stack.default.consumable,10,,,,,,,,,,,,,,,,,,0,18,-8,
23,3004,item.canned_tuna,item.canned_tuna.desc,12,8,,uncommon,T_UIIcon_CannedTuna.uasset,/Game/UI/Icons/T_UIIcon_CannedTuna.T_UIIcon_CannedTuna,item.category.consumable,,stack.default.consumable,10,,,,,,,,,,,,,,,,,,2,28,-3,
24,3005,item.large_water_bottle,item.large_water_bottle.desc,12,8,,uncommon,T_UIIcon_WaterBottle.uasset,/Game/UI/Icons/T_UIIcon_WaterBottle.T_UIIcon_WaterBottle,item.category.consumable,,stack.default.consumable,10,,,,,,,,,,,,,,,,,,0,0,80,
25,3006,item.king_water_bottle,item.king_water_bottle.desc,18,12,,rare,T_UIIcon_WaterBottle.uasset,/Game/UI/Icons/T_UIIcon_WaterBottle.T_UIIcon_WaterBottle,item.category.consumable,,stack.default.consumable,10,,,,,,,,,,,,,,,,,,0,0,120,
26,4001,item.bandage,item.bandage.desc,15,7,,uncommon,T_UIIcon_Bandage.uasset,/Game/UI/Icons/T_UIIcon_Bandage.T_UIIcon_Bandage,item.category.consumable,,stack.default.consumable,10,,,,,,,,,,,,,,,,,,18,0,0,
27,4002,item.first_aid_kit,item.first_aid_kit.desc,45,18,,rare,T_UIIcon_FirstAidKit.uasset,/Game/UI/Icons/T_UIIcon_FirstAidKit.T_UIIcon_FirstAidKit,item.category.consumable,,stack.default.consumable,10,,,,,,,,,,,,,,,,,,45,-3,-3,
28,4003,item.painkillers,item.painkillers.desc,22,10,,uncommon,T_UIIcon_Painkillers.uasset,/Game/UI/Icons/T_UIIcon_Painkillers.T_UIIcon_Painkillers,item.category.consumable,,stack.default.consumable,10,,,,,,,,,,,,,,,,,,12,0,-4,
29,4004,item.antibiotics,item.antibiotics.desc,32,14,,rare,T_UIIcon_Antibiotics.uasset,/Game/UI/Icons/T_UIIcon_Antibiotics.T_UIIcon_Antibiotics,item.category.consumable,,stack.default.consumable,10,,,,,,,,,,,,,,,,,,20,-4,-4,
30,5001,item.body_armor,item.body_armor.desc,180,52,,rare,T_UIIcon_BodyArmor.uasset,/Game/UI/Icons/T_UIIcon_BodyArmor.T_UIIcon_BodyArmor,item.category.body,,stack.default.equipment,1,,equipment.slot.body,3,,,,,,,,,,,,,,,,,,
31,5002,item.backpack_tier1,item.backpack_tier1.desc,95,34,,uncommon,T_UIIcon_Backpack_Tier1.uasset,/Game/UI/Icons/T_UIIcon_Backpack_Tier1.T_UIIcon_Backpack_Tier1,item.category.bag,,stack.default.equipment,1,,equipment.slot.backpack,,,,,,,,,,,50,10,,,,,,,
32,5003,item.backpack_tier2,item.backpack_tier2.desc,150,48,,rare,T_UIIcon_Backpack_Tier2.uasset,/Game/UI/Icons/T_UIIcon_Backpack_Tier2.T_UIIcon_Backpack_Tier2,item.category.bag,,stack.default.equipment,1,,equipment.slot.backpack,,,,,,,,,,,60,20,,,,,,,
33,5004,item.backpack_tier3,item.backpack_tier3.desc,260,76,,epic,T_UIIcon_Backpack_Tier3.uasset,/Game/UI/Icons/T_UIIcon_Backpack_Tier3.T_UIIcon_Backpack_Tier3,item.category.bag,,stack.default.equipment,1,,equipment.slot.backpack,,,,,,,,,,,80,40,,,,,,,
34,5005,item.backpack_tier4,item.backpack_tier4.desc,420,110,,legendary,T_UIIcon_Backpack_Tier4.uasset,/Game/UI/Icons/T_UIIcon_Backpack_Tier4.T_UIIcon_Backpack_Tier4,item.category.bag,,stack.default.equipment,1,,equipment.slot.backpack,,,,,,,,,,,100,60,,,,,,,
35,5006,item.ballistic_helmet,item.ballistic_helmet.desc,220,62,,rare,T_UIIcon_BallisticHelmet.uasset,/Game/UI/Icons/T_UIIcon_BallisticHelmet.T_UIIcon_BallisticHelmet,item.category.head,,stack.default.equipment,1,,equipment.slot.head,2,,,,,,,,,,,,,,,,,,
36,5007,item.tactical_sunglasses,item.tactical_sunglasses.desc,35,13,,uncommon,T_UIIcon_TacticalSunglasses.uasset,/Game/UI/Icons/T_UIIcon_TacticalSunglasses.T_UIIcon_TacticalSunglasses,item.category.face,,stack.default.equipment,1,,equipment.slot.face,,,,,,,,,,,,,,,,,,,
37,5008,item.tactical_earphones_tier1,item.tactical_earphones_tier1.desc,80,28,,uncommon,T_UIIcon_TacticalEarphones_Tier1.uasset,/Game/UI/Icons/T_UIIcon_TacticalEarphones_Tier1.T_UIIcon_TacticalEarphones_Tier1,item.category.ear,,stack.default.equipment,1,,equipment.slot.ear,,,,,,,,,,,,,1800,1,0.12,,,,
38,5009,item.tactical_earphones_tier2,item.tactical_earphones_tier2.desc,160,50,,rare,T_UIIcon_TacticalEarphones_Tier2.uasset,/Game/UI/Icons/T_UIIcon_TacticalEarphones_Tier2.T_UIIcon_TacticalEarphones_Tier2,item.category.ear,,stack.default.equipment,1,,equipment.slot.ear,,,,,,,,,,,,,2600,1.25,0.08,,,,
39,5010,item.tactical_jacket,item.tactical_jacket.desc,90,30,,uncommon,T_UIIcon_TacticalJacket.uasset,/Game/UI/Icons/T_UIIcon_TacticalJacket.T_UIIcon_TacticalJacket,item.category.body,,stack.default.equipment,1,,equipment.slot.body,1,,,,,,,,,,,,,,,,,,
40,6001,item.valuables_crate,item.valuables_crate.desc,250,90,,epic,T_UIIcon_ValuablesCrate.uasset,/Game/UI/Icons/T_UIIcon_ValuablesCrate.T_UIIcon_ValuablesCrate,,,,1,,,,,,,,,,,,,,,,,,,,,
41,6002,item.wood,item.wood.desc,3,2,0.8,common,T_UIIcon_ValuablesCrate.uasset,/Game/UI/Icons/T_UIIcon_ValuablesCrate.T_UIIcon_ValuablesCrate,item.category.material,,stack.default.material,50,,,,,,,,,,,,,,,,,,,,,
42,6003,item.crowbar,item.crowbar.desc,0,0,2.5,uncommon,T_UIIcon_Crowbar.uasset,/Game/UI/Icons/T_UIIcon_Crowbar.T_UIIcon_Crowbar,item.category.material,,stack.default.material,50,,,,,,,,,,,,,,,,,,,,,
43,6004,item.replacement_valve_handle,item.replacement_valve_handle.desc,0,0,1.2,uncommon,T_UIIcon_ReplacementValveHandle.uasset,/Game/UI/Icons/T_UIIcon_ReplacementValveHandle.T_UIIcon_ReplacementValveHandle,item.category.material,,stack.default.material,50,,,,,,,,,,,,,,,,,,,,,
44,6005,item.waterproof_tape,item.waterproof_tape.desc,0,0,0.4,common,T_UIIcon_WaterproofTape.uasset,/Game/UI/Icons/T_UIIcon_WaterproofTape.T_UIIcon_WaterproofTape,item.category.material,,stack.default.material,50,,,,,,,,,,,,,,,,,,,,,
45,7001,item.blueprint_king_water_bottle,item.blueprint_king_water_bottle.desc,30,0,,rare,T_UIIcon_WaterBottle.uasset,/Game/UI/Icons/T_UIIcon_WaterBottle.T_UIIcon_WaterBottle,item.category.blueprint,,stack.default.blueprint,1,recipe.king_water_bottle,,,,,,,,,,,,,,,,,,,,
46,7002,item.ancient_coin,item.ancient_coin.desc,0,0,0.01,common,T_UIIcon_AncientCoin.uasset,/Game/UI/Icons/T_UIIcon_AncientCoin.T_UIIcon_AncientCoin,item.category.currency,,stack.default.currency,999,,,,,,,,,,,,,,,,,,,,,
47,7003,item.ancient_banknote,item.ancient_banknote.desc,0,0,0.01,uncommon,T_UIIcon_AncientBanknoteBundle.uasset,/Game/UI/Icons/T_UIIcon_AncientBanknoteBundle.T_UIIcon_AncientBanknoteBundle,item.category.currency,,stack.default.currency,999,,,,,,,,,,,,,,,,,,,,,
